timedate,Calcium,Chloride,Magnesium,Nitrate,Potassium,Sodium,Sulfate,Temperature,Turbidity,Discharge
2022-08-06 06:18:00+00:00,1.488678,2.179634,1.284198,0.000887,0.054706,1.087522,0.618812,25.75,19.921875,1.396007362
2022-08-06 06:48:00+00:00,1.493217,2.175746,1.283333,0.000952,0.055141,1.087478,0.616271,25.75,19.921875,1.396007362
2022-08-06 07:17:00+00:00,1.491471,2.172732,1.280082,0.000806,0.055959,1.092217,0.61599,25.625,21.972656,1.429987258
2022-08-06 07:46:00+00:00,1.492968,2.190676,1.27893,0.000855,0.055499,1.083522,0.620281,25.625,19.921875,1.429987258
2022-08-06 08:16:00+00:00,1.492444,2.181606,1.282346,0.000806,0.05509,1.084043,0.616948,25.625,19.921875,1.429987258
2022-08-06 08:45:00+00:00,1.488429,2.185437,1.279835,0.000839,0.054348,1.082522,0.613885,25.625,22.949219,1.379017415
2022-08-06 09:14:00+00:00,1.48813,2.196366,1.276914,0.000984,0.055141,1.083565,0.618448,25.625,18.945312,1.379017415
2022-08-06 09:43:00+00:00,1.485736,2.192732,1.27716,0.001,0.054962,1.085304,0.615396,25.625,19.921875,1.41299731
2022-08-06 10:13:00+00:00,1.486958,2.192761,1.281564,0.000629,0.055371,1.087826,0.616198,25.625,18.945312,1.41299731
2022-08-06 10:42:00+00:00,1.479002,2.196873,1.280576,0.000806,0.054808,1.087,0.616365,25.625,18.945312,1.379017415
2022-08-06 11:11:00+00:00,1.482868,2.196648,1.278765,0.000903,0.055422,1.086043,0.612927,25.625,20.996094,1.359195809
2022-08-06 11:40:00+00:00,1.489227,2.193324,1.267901,0.001048,0.055524,1.086739,0.61101,25.625,18.945312,1.362027467
2022-08-06 12:10:00+00:00,1.477107,2.201915,1.277243,0.000935,0.05509,1.085391,0.61476,25.625,19.921875,1.362027467
2022-08-06 12:39:00+00:00,1.476459,2.200507,1.273786,0.001097,0.055448,1.087739,0.617229,25.625,19.921875,1.362027467
2022-08-06 13:08:00+00:00,1.475411,2.193887,1.275761,0.001274,0.056036,1.089261,0.611938,25.625,19.921875,1.328047572
2022-08-06 13:38:00+00:00,1.473791,2.205549,1.277366,0.001274,0.054425,1.090826,0.616885,25.75,18.945312,1.379017415
2022-08-06 14:07:00+00:00,1.47596,2.196789,1.280288,0.001323,0.055038,1.091261,0.606896,25.75,17.96875,1.294067677
2022-08-06 14:36:00+00:00,1.476633,2.175887,1.276831,0.001952,0.055959,1.090913,0.611354,25.75,17.96875,1.345037519
2022-08-06 15:05:00+00:00,1.475237,2.203887,1.275802,0.002339,0.055217,1.090783,0.617802,25.875,17.96875,1.362027467
2022-08-06 15:35:00+00:00,1.471596,2.19831,1.27856,0.002387,0.055064,1.093043,0.618094,26,17.96875,1.328047572
2022-08-06 16:04:00+00:00,1.475661,2.197718,1.277901,0.002629,0.054936,1.09313,0.621188,26.125,17.96875,1.328047572
2022-08-06 16:33:00+00:00,1.473616,2.199915,1.281152,0.002194,0.055857,1.093261,0.617583,26.125,17.96875,1.379017415
2022-08-06 17:02:00+00:00,1.470648,2.19169,1.28144,0.002274,0.055141,1.094522,0.617615,26.25,23.925781,1.362027467
2022-08-06 17:32:00+00:00,1.473192,2.192366,1.2807,0.002339,0.055166,1.095522,0.619583,26.5,25,1.362027467
2022-08-06 18:01:00+00:00,1.471372,2.189155,1.281358,0.002645,0.055575,1.095783,0.616802,26.625,21.972656,1.362027467
2022-08-06 18:30:00+00:00,1.480399,2.181465,1.287654,0.003613,0.05555,1.101522,0.62151,26.75,22.949219,1.379017415
2022-08-06 19:00:00+00:00,1.477182,2.181915,1.291523,0.004565,0.054783,1.113652,0.633271,27,23.925781,1.41299731
2022-08-06 19:29:00+00:00,1.461845,2.175803,1.296337,0.004919,0.05509,1.155478,0.62651,27.25,21.972656,1.396007362
2022-08-06 19:58:00+00:00,1.473965,2.18107,1.293292,0.005,0.05555,1.122565,0.631188,27.625,21.972656,1.429987258
2022-08-06 20:27:00+00:00,1.482843,2.181606,1.289012,0.004952,0.055908,1.110087,0.63076,27.75,21.972656,1.362027467
2022-08-06 20:57:00+00:00,1.491621,2.17862,1.294568,0.005452,0.05578,1.126391,0.630833,27.875,21.972656,1.446977205
2022-08-06 21:26:00+00:00,1.489377,2.186535,1.291564,0.005258,0.055934,1.120826,0.635594,28.125,21.972656,1.446977205
2022-08-06 21:55:00+00:00,1.484738,2.185746,1.286914,0.003984,0.055627,1.11387,0.620469,28.25,18.945312,1.429987258
2022-08-06 22:24:00+00:00,1.474264,2.203634,1.276955,0.003435,0.055857,1.095261,0.619917,28.25,19.921875,1.429987258
2022-08-06 22:54:00+00:00,1.474364,2.21,1.281276,0.002565,0.056164,1.09113,0.614771,28.25,18.945312,1.396007362
2022-08-06 23:23:00+00:00,1.470998,2.20462,1.28642,0.002048,0.056138,1.092261,0.604323,28.25,19.921875,1.396007362
2022-08-06 23:52:00+00:00,1.469177,2.204451,1.279547,0.001581,0.056317,1.091087,0.606271,28.125,18.945312,1.41299731
2022-08-07 00:22:00+00:00,1.464688,2.230254,1.284774,0.001113,0.056394,1.090522,0.607583,28.125,20.996094,1.396007362
